Date,AAPL,BA,CME,CVX,GS,IBM,MON,TEVA,XOM
2007-08-23,17.054994,76.19569,80.022069,61.428904,158.775382,90.717867,56.642631,33.927178,65.562686
2007-08-24,17.605407,77.558299,80.787614,62.679327,160.770134,92.174889,58.715239,34.682961,67.081394
2007-08-27,17.208537,77.613433,80.533875,62.521226,159.177909,92.337688,58.525249,34.824153,66.635177
2007-08-28,16.50198,75.337172,79.899519,60.580915,152.916344,91.165558,56.530367,34.408887,64.975558
2007-08-29,17.446659,76.321714,80.750128,62.305634,155.394139,93.257482,58.525249,35.239418,66.721289
2007-08-30,17.729022,76.28233,79.618386,62.657769,153.30099,93.908667,59.457924,35.555021,66.85437
2007-08-31,18.019193,76.164184,79.986024,63.06739,157.442559,94.983118,60.226515,35.71282,67.112708
2007-09-04,18.758282,75.54983,81.427733,63.764467,161.727265,96.204085,61.694616,36.236055,68.286965
2007-09-05,17.795385,75.486818,81.384483,63.49857,159.052678,95.951747,60.874205,36.327414,68.279135
2007-09-06,17.567673,75.770367,80.430058,63.908192,160.278151,95.740118,61.090102,36.128086,68.490499
2007-09-07,17.146079,74.699184,78.6425,62.98834,160.099252,94.055183,60.364692,36.036727,67.128362
2007-09-10,17.788879,75.085129,77.920546,62.55716,164.240834,94.258677,60.90875,35.945368,66.431637
2007-09-11,17.630131,76.747037,79.147866,63.663853,164.142438,95.52034,61.927782,36.003505,68.059942
2007-09-12,17.807094,77.440153,78.434576,64.095038,163.274763,94.421471,61.988233,36.551655,68.615756
2007-09-13,17.852638,77.93636,79.523285,64.741805,168.588149,94.380769,62.497752,36.011812,69.37511
2007-09-14,18.062133,78.251415,79.212845,65.144244,170.484504,93.713307,63.473602,36.177919,69.414248
2007-09-17,18.010085,77.692195,77.985519,65.345461,167.818871,93.21678,65.148962,35.953675,69.876126
2007-09-18,18.336688,77.558299,79.778855,67.077368,179.349094,94.934275,67.256108,36.501825,71.833221
2007-09-19,18.317171,78.779128,79.69078,67.63072,183.82164,94.966835,69.415075,36.759288,72.115043
2007-09-20,18.257314,79.74792,78.29596,67.673836,182.059456,95.121492,68.257872,36.244359,72.091553
2007-09-21,18.756981,80.803346,78.584742,68.15532,187.829037,95.056373,68.059244,35.928757,72.263778
2007-09-24,19.294382,81.165663,77.985519,67.803191,188.231564,94.624965,68.344229,36.52674,71.809737
2007-09-25,19.931975,82.646412,79.762975,66.028162,188.651984,94.836601,69.812323,36.709458,71.989786
2007-09-26,19.878625,82.268346,83.905549,66.480905,191.970619,95.479645,72.325363,36.900479,72.310753
2007-09-27,20.103735,83.063857,84.974038,67.19954,193.911702,95.813373,73.007597,37.133027,72.780454
2007-09-28,19.969711,82.693669,84.807992,67.249844,193.875928,95.886634,74.043898,36.933701,72.459488
2007-10-01,20.343159,84.001143,87.832983,67.867871,199.457657,96.887824,74.026629,37.315745,73.547632
2007-10-02,20.617714,83.434046,87.060486,66.516834,203.965991,96.34246,73.137137,37.216082,72.20898
2007-10-03,20.54875,82.48101,88.159303,65.740712,203.366671,94.747063,72.899157,36.800817,71.4966
2007-10-04,20.330146,82.30773,87.334833,65.999416,202.11435,94.169139,73.349155,36.410466,71.175634
2007-10-05,21.008078,80.535554,90.843532,66.344363,204.395351,94.665667,75.227016,36.410466,71.520084
2007-10-08,21.848661,79.606146,90.244308,65.812575,203.017813,95.862209,75.953928,36.692847,70.987754
2007-10-09,21.842155,79.905444,91.081778,66.68931,213.966597,96.293623,77.468334,36.443688,72.5456
2007-10-10,21.702926,77.723701,90.388697,66.171892,211.050502,96.554096,76.827958,36.759288,72.905705
2007-10-11,21.109573,75.817629,89.883331,65.395765,204.851546,96.090128,78.567363,37.265912,72.537776
2007-10-12,21.762781,76.156312,90.894068,65.690408,208.921566,95.894769,80.947143,37.564903,73.179703
2007-10-15,21.727649,74.691312,89.910767,66.351551,205.146736,96.073845,79.051971,37.614736,74.228703
2007-10-16,22.065964,75.565586,89.559897,67.156418,201.112504,97.351791,78.69717,37.44863,74.166075
2007-10-17,22.478449,75.28991,89.717279,67.019882,203.608179,94.242394,76.56835,37.706095,74.213049
2007-10-18,22.57604,76.35322,89.946861,66.416225,203.813926,93.444699,78.489476,37.57321,74.408759
